GENDER;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;81;61;86;82;INDUSTRIAL ENGINEERING;71;93;71;93;79;181;180;91;5;4;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;75;66;100;88;INDUSTRIAL ENGINEERING;97;38;86;98;78;201;182;92;5;4;4;4
M;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;52;49;38;46;42;ELECTRONIC ENGINEERING;17;1;18;43;22;113;113;7;1;1;1;1
F;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;56;55;51;64;73;INDUSTRIAL ENGINEERING;65;35;76;80;48;137;157;67;4;3;2;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;65;76;85;92;INDUSTRIAL ENGINEERING;94;94;98;100;71;189;198;98;5;4;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;60;57;61;82;INDUSTRIAL ENGINEERING;86;15;32;97;36;170;154;63;4;3;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;75;61;75;85;INDUSTRIAL ENGINEERING;68;8;50;92;53;187;152;59;3;3;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;74;67;61;85;96;INDUSTRIAL ENGINEERING;97;86;94;97;98;188;200;99;5;4;4;4
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;44;54;61;44;46;INDUSTRIAL ENGINEERING;51;57;43;3;19;177;133;28;2;2;3;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;52;55;51;55;65;INDUSTRIAL ENGINEERING;13;41;22;83;1;112;126;18;1;1;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;71;61;78;96;INDUSTRIAL ENGINEERING;96;83;93;100;98;187;200;99;5;4;2;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;47;49;45;43;CIVIL ENGINEERING;64;19;79;10;5;141;133;29;2;2;2;2
F;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;56;62;61;61;50;CIVIL ENGINEERING;41;45;74;56;37;119;148;53;3;3;2;2
