COD_S11;GENDER;STRATUM;PEOPLE_HOUSE;;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;REVENUE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;GA;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
SB11201210000129;F;Stratum 4;Three;;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Between 1 and less than 2 LMMW;PRIVATE;ACADEMIC;71;81;61;86;82;76;INDUSTRIAL ENGINEERING;71;93;71;93;79;181;180;91;5;4;2;2
SB11201210000137;F;Stratum 5;Three;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;10 or more LMMW;PRIVATE;ACADEMIC;83;75;66;100;88;82;INDUSTRIAL ENGINEERING;97;38;86;98;78;201;182;92;5;4;4;4
SB11201210005154;M;Stratum 2;Five;;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Between 1 and less than 2 LMMW;PRIVATE;ACADEMIC;52;49;38;46;42;45;ELECTRONIC ENGINEERING;17;1;18;43;22;113;113;7;1;1;1;1
SB11201210007504;F;Stratum 2;Three;;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Between 2 and less than 3 LMMW;PRIVATE;ACADEMIC;56;55;51;64;73;60;INDUSTRIAL ENGINEERING;65;35;76;80;48;137;157;67;4;3;2;2
SB11201210007548;M;Stratum 4;One;;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Between 7 and less than 10 LMMW;PRIVATE;ACADEMIC;80;65;76;85;92;80;INDUSTRIAL ENGINEERING;94;94;98;100;71;189;198;98;5;4;4;2
SB11201210007568;F;Stratum 6;Three;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;10 or more LMMW;PRIVATE;ACADEMIC;71;60;57;61;82;66;INDUSTRIAL ENGINEERING;86;15;32;97;36;170;154;63;4;3;4;2
SB11201210007598;M;Stratum 5;Four;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;10 or more LMMW;PRIVATE;ACADEMIC;71;75;61;75;85;73;INDUSTRIAL ENGINEERING;68;8;50;92;53;187;152;59;3;3;2;2
SB11201210007615;F;Stratum 6;Five;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;10 or more LMMW;PRIVATE;ACADEMIC;74;67;61;85;96;77;INDUSTRIAL ENGINEERING;97;86;94;97;98;188;200;99;5;4;4;4
SB11201210010208;M;Stratum 2;Three;;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Between 1 and less than 2 LMMW;PRIVATE;TECHNICAL;44;54;61;44;46;50;INDUSTRIAL ENGINEERING;51;57;43;3;19;177;133;28;2;2;3;2
SB11201210013577;M;Stratum 2;Four;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Between 2 and less than 3 LMMW;PRIVATE;ACADEMIC;52;55;51;55;65;56;INDUSTRIAL ENGINEERING;13;41;22;83;1;112;126;18;1;1;4;2
SB11201210015404;F;Stratum 3;Five;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;10 or more LMMW;PRIVATE;ACADEMIC;74;71;61;78;96;76;INDUSTRIAL ENGINEERING;96;83;93;100;98;187;200;99;5;4;2;4
SB11201210016082;M;Stratum 2;Four;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Between 2 and less than 3 LMMW;PRIVATE;ACADEMIC;54;47;49;45;43;48;CIVIL ENGINEERING;64;19;79;10;5;141;133;29;2;2;2;2
SB11201210017060;F;Stratum 3;Five;;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Between 2 and less than 3 LMMW;PRIVATE;ACADEMIC;56;62;61;61;50;58;CIVIL ENGINEERING;41;45;74;56;37;119;148;53;3;3;2;2
