GENDER,STRATUM,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,PROMEDIO
F,Stratum 4,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,81,61,86,82,78
F,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,83,75,66,100,88,82
M,Stratum 2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,52,49,38,46,42,44
F,Stratum 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,56,55,51,64,73,61
M,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,80,65,76,85,92,80
F,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,60,57,61,82,65
M,Stratum 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,71,75,61,75,85,74
F,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,74,67,61,85,96,77
M,Stratum 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL,44,54,61,44,46,51
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,52,55,51,55,65,57
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,71,61,78,96,77
M,Stratum 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,54,47,49,45,43,46
F,Stratum 3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,56,62,61,61,50,59
M,Stratum 6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,76,71,64,75,82,73
F,Stratum 1,No,No,No,No,No,No,No,No,Yes,No,PRIVATE,ACADEMIC,56,45,59,51,44,50
F,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,62,58,59,55,59,58
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,67,72,78,68,71
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,74,64,61,72,88,71
M,Stratum 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,PRIVATE,ACADEMIC,44,49,45,44,44,46
M,Stratum 3,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,PRIVATE,ACADEMIC,61,44,53,41,53,48
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,58,53,51,48,58,53
M,Stratum 2,Yes,No,Yes,No,No,No,No,No,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,60,47,56,56,57,54
M,Stratum 4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,53,47,36,36,64,46
M,Stratum 2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,67,65,50,72,82,67
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,80,71,68,66,75,70
M,Stratum 3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,PRIVATE,TECHNICAL/ACADEMIC,83,75,65,100,71,78
M,Stratum 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PRIVATE,ACADEMIC,69,56,49,63,70,60
